MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,Mel_0,Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6,Mel_7,Mel_8,Mel_9,Mel_10,Mel_11,Mel_12,Mel_13,Mel_14,Mel_15,Mel_16,Mel_17,Mel_18,Mel_19,Mel_20,Mel_21,Mel_22,Mel_23,Mel_24,Mel_25,Mel_26,Mel_27,Mel_28,Mel_29,Mel_30,Mel_31,Mel_32,Mel_33,Mel_34,Mel_35,Mel_36,Mel_37,Mel_38,Mel_39,Mel_40,Mel_41,Mel_42,Mel_43,Mel_44,Mel_45,Mel_46,Mel_47,Mel_48,Mel_49,Mel_50,Mel_51,Mel_52,Mel_53,Mel_54,Mel_55,Mel_56,Mel_57,Mel_58,Mel_59,Mel_60,Mel_61,Mel_62,Mel_63,Mel_64,Mel_65,Mel_66,Mel_67,Mel_68,Mel_69,Mel_70,Mel_71,Mel_72,Mel_73,Mel_74,Mel_75,Mel_76,Mel_77,Mel_78,Mel_79,Mel_80,Mel_81,Mel_82,Mel_83,Mel_84,Mel_85,Mel_86,Mel_87,Mel_88,Mel_89,Mel_90,Mel_91,Mel_92,Mel_93,Mel_94,Mel_95,Mel_96,Mel_97,Mel_98,Mel_99,Mel_100,Mel_101,Mel_102,Mel_103,Mel_104,Mel_105,Mel_106,Mel_107,Mel_108,Mel_109,Mel_110,Mel_111,Mel_112,Mel_113,Mel_114,Mel_115,Mel_116,Mel_117,Mel_118,Mel_119,Mel_120,Mel_121,Mel_122,Mel_123,Mel_124,Mel_125,Mel_126,Mel_127,ZCR,RMSE
0.027211992,0.0890451,-212.0940399,103.0848007,5.877359867,29.33019447,-14.20003986,-1.530956626,-14.41568375,-8.06580162,2.184232712,-3.505535364,1.608657241,-1.20955503,-5.905945778,4.968550682,-10.69376945,5.563963413,-4.990226746,0.791350245,-1.731682658,4.309138775,2.781453371,5.795969486,2.896043777,4.02588129,0.582615137,3.929042101,2.438423634,10.53430271,4.326535225,7.137080669,-2.079309702,4.464445591,1.989238381,4.244142532,0.168979362,1.435409546,1.013859391,4.910404205,0.800825536,1.984322548,8.564519882,-12.85411072,-9.946174622,-10.143363,-10.32633495,-9.165503502,-7.530077934,-4.372958183,1.581416249,1.505950332,-0.974101841,-1.767434359,-2.328012943,-2.508004189,-3.819695234,-5.104480743,-4.970505714,-3.919041157,-2.457448959,-3.908830643,-4.426353455,-4.123380184,-4.960350037,-5.104073048,-4.761349201,-4.83413744,-5.190472126,-5.419155121,-6.374011993,-8.175926208,-10.84035015,-12.37889862,-13.68281651,-12.88057899,-12.30193424,-13.07117367,-14.72392273,-12.54203892,-13.18890476,-16.33098412,-17.90019226,-19.25870323,-18.50859833,-19.46347046,-19.8331337,-19.63487625,-17.80667877,-16.01856041,-16.46329498,-18.62887764,-20.28774834,-20.45084381,-20.55938148,-18.27133942,-17.40354729,-17.47220612,-18.54034805,-18.75455475,-20.06049919,-20.72037125,-19.56913567,-18.79186821,-19.49080086,-18.42211914,-18.41418076,-19.09950066,-19.22700882,-20.24904823,-21.30966949,-20.55753708,-20.51093102,-20.62552643,-21.76812363,-22.77456665,-22.39976692,-21.38602638,-20.66503334,-22.25107384,-22.52666092,-22.28895187,-21.24991035,-20.71507835,-21.47430038,-21.68627167,-22.63846588,-23.18504143,-22.72378731,-23.06933212,-23.592556,-24.02474403,-24.15009499,-24.25103378,-24.06563187,-23.3378582,-23.45295906,-21.98069954,-21.54999733,-21.38189888,-20.87643242,-21.37708092,-21.59793472,-22.67070007,-23.70835304,-24.1384697,-24.88674545,-26.02601433,-27.25920486,-30.91305542,-32.37179565,-33.87207413,-35.35261917,-34.90817261,-34.15301132,-33.11503601,-33.34352112,-32.81153107,-32.6223526,-32.48576736,-32.77818298,-32.89387131,-32.85054779,-33.44802475,-32.46021652,-32.790905,-34.20941544,-35.57966232,-39.61104202,-47.80918884
0.076893908,0.047259588,-284.2989502,117.5318909,-4.15289402,36.31043625,-12.6091404,-10.40215015,-12.96043396,0.817921877,-4.132699966,-4.626971722,2.972230911,-15.48272419,2.017182112,-11.30364323,-10.48165321,6.539365292,-5.164482117,1.878687739,-2.142142773,3.34856534,-0.917883873,6.188871384,-1.848446727,2.966445208,5.02781868,5.150154591,2.939488888,1.397763133,-1.411344528,0.02793094,-1.297895193,0.174988061,-4.783293247,1.426718831,-5.068234921,1.138734579,-0.140871033,-0.498798519,-0.915105522,-1.895105839,-16.98486137,-12.56021214,-9.2622118,-14.52170658,-14.62594128,-13.51029682,-9.479579926,-9.91571331,-7.712193966,-3.631568432,-1.355730176,-3.297272444,-3.073229313,-5.247999668,-9.008049965,-10.70390129,-11.23465061,-11.00177288,-10.31161976,-9.932872772,-10.34787655,-10.56746387,-10.80992889,-11.74034309,-12.2011137,-12.9313364,-12.64702892,-11.93413162,-11.64407921,-11.14710903,-11.75020409,-13.47316647,-15.35553932,-16.28791237,-16.88720894,-18.56947136,-19.60902596,-21.08031845,-21.98740387,-22.39646912,-22.36063766,-22.91110229,-23.11382484,-23.42182732,-25.10911179,-26.42816544,-26.12441254,-25.01656342,-24.53050423,-23.39248657,-23.12518883,-24.27850914,-25.31037331,-25.9812603,-26.81113815,-26.8933239,-27.40895462,-27.21278191,-27.50602913,-26.89442825,-25.34844398,-24.96635056,-24.59692574,-23.4440918,-23.51649857,-24.88488197,-24.59284401,-23.94371605,-23.954813,-23.68228531,-24.18655968,-26.3028717,-25.49613762,-23.94008255,-24.93438148,-26.76835442,-27.26438332,-25.79524994,-24.47564125,-25.26061821,-26.21544838,-25.66840172,-24.7411747,-23.37691879,-23.47445679,-24.0795517,-24.46160316,-27.27633095,-29.78327751,-30.70447731,-32.49449539,-35.02871704,-34.79624939,-34.73588181,-35.04034805,-34.57178497,-35.01002884,-35.08417511,-33.51911926,-32.83644485,-31.1740799,-29.28972244,-30.83731651,-32.29758453,-33.38353348,-33.17509842,-32.01447296,-31.84671402,-33.78981018,-37.22121811,-40.54253769,-43.01045227,-45.2089386,-45.30224228,-45.97214127,-46.08596802,-46.55325317,-46.14417648,-44.77285385,-44.36268234,-44.04563904,-43.82302856,-43.76516342,-43.05910492,-42.72243881,-42.71199417,-45.44343567,-53.0968399
0.10827443,0.052534558,-257.0718384,77.62467957,3.989718676,32.09632492,-23.29757881,-6.348144531,-15.5450058,3.134834528,0.514769554,-0.225026965,-1.410741091,-6.76076889,3.274305582,-9.477676392,-3.048361063,3.167237759,-6.910600662,10.30010223,-0.205502927,7.211235523,6.244556427,8.443407059,6.880607605,6.905760288,-5.404976368,0.955498397,-4.498243332,0.826897264,-5.085625648,-0.465620071,-6.525691032,-1.024125338,-3.467477322,-0.11762201,-1.404053807,0.949826539,-3.074530602,1.644611835,-4.633716583,0.699424207,-15.03703308,-12.61979866,-11.47384071,-13.87778568,-15.30560493,-15.12139416,-13.97418308,-17.70285225,-16.72989845,-13.40299797,-7.757086277,-3.2434237,-2.995373011,-5.942545414,-7.997309208,-11.34762764,-12.55573082,-13.79551697,-14.74629784,-17.10008812,-15.5635376,-12.49720669,-8.645618439,-8.229230881,-8.349024773,-10.57840824,-11.56412888,-10.7635622,-11.23848915,-13.01881981,-13.89527893,-15.54071045,-16.01216507,-16.61051178,-16.13474464,-16.29299545,-16.9213028,-17.48753357,-19.78416824,-22.01352119,-22.72698212,-23.07042503,-24.55740547,-24.40747833,-23.82176971,-22.86821556,-22.422966,-24.48927307,-25.27269173,-25.58883476,-26.22879028,-27.3771801,-27.64447403,-27.22717285,-26.7462635,-26.45801735,-25.76591301,-24.47982216,-23.48534393,-24.49583435,-25.42889786,-26.02565956,-23.1751442,-23.97524643,-24.58206558,-23.7864666,-22.91080856,-23.44050026,-23.49577904,-21.78444099,-21.03659439,-23.20689774,-24.30695534,-24.79087067,-24.25428391,-23.14119911,-23.51633644,-24.95487213,-25.27106285,-24.2050724,-23.59892273,-23.79927826,-24.75356483,-22.85570335,-23.53215218,-24.98965263,-23.52295494,-20.46849823,-20.64889526,-22.26988602,-22.22859764,-21.41617203,-24.23855209,-27.4767437,-27.80811882,-27.36294937,-28.80857277,-29.43561745,-27.5871563,-27.15235901,-26.69643593,-24.89274406,-23.95875931,-22.72753143,-21.9579277,-22.01316833,-24.64610291,-27.14380264,-28.22977066,-29.58839417,-31.06031799,-31.64087868,-33.91107941,-34.9883461,-36.06018829,-37.57069016,-37.22082901,-37.61061096,-38.07287979,-37.98782349,-36.92525482,-35.9062233,-35.82302856,-35.48648071,-35.32326126,-35.55576324,-40.20863724,-50.98339462
0.096155045,0.079647593,-216.1983185,96.26611328,-22.91152191,14.34450817,-24.10035706,-10.23972321,-13.82944679,-1.528905392,1.97460568,-2.527650833,-2.354540825,-6.062981606,6.785463333,0.940436602,0.332893074,10.43526173,-5.069280624,16.39893532,2.179488659,3.643451691,5.862609863,7.346271038,0.997407615,-1.278998852,-5.929375172,0.41152671,-2.710212469,-0.490913242,-5.866621971,3.670670271,-2.864586115,1.98121345,-0.733613789,3.12075448,-0.603781819,0.700797081,-2.368002653,1.230994582,-1.373076797,0.975571096,-10.74568081,-11.04398727,-11.84710026,-13.82330036,-15.09412003,-15.48447323,-14.94068146,-17.07881355,-17.29434204,-15.58108616,-12.25324249,-7.934024334,-5.664299488,-4.688028336,-3.903602362,-2.55496335,-2.838353157,-4.962091446,-7.437878132,-9.6453228,-10.42516613,-8.614159584,-6.755667686,-5.90582943,-5.414802551,-5.635736942,-5.450146675,-6.330505848,-7.240995407,-7.310177326,-7.518676758,-8.625788689,-8.892796516,-8.666852951,-8.874777794,-9.341207504,-9.456091881,-10.14273357,-10.41474342,-10.66556644,-11.74892616,-13.63751316,-15.50826454,-15.44752407,-16.26057816,-15.48162079,-15.34465027,-16.13761139,-16.88410759,-17.30012512,-18.07202339,-17.78928566,-18.53609085,-20.3771534,-19.98637199,-19.22367477,-18.61987686,-17.2419529,-15.48284531,-15.07914066,-14.97270012,-14.17084026,-14.59322834,-16.26601601,-18.33057976,-19.27527428,-19.94416618,-18.33613777,-18.01388168,-17.60738373,-16.56057358,-17.45971489,-18.92823601,-19.42920494,-18.68209076,-18.27530479,-20.05026245,-21.59370041,-21.6940918,-21.20907021,-20.39378166,-21.66188431,-22.63627434,-21.33558273,-21.35595894,-20.3153553,-18.44539261,-17.54541588,-19.0922184,-20.60547447,-21.12890816,-22.25883675,-23.92493439,-25.74212837,-27.7494278,-28.39583778,-27.26574516,-26.8620739,-26.58137894,-26.48224258,-25.29350662,-25.21892738,-23.76954651,-21.75964546,-22.73186302,-24.05192947,-25.89808083,-27.53668594,-29.94755363,-33.07180786,-34.81702805,-35.88687897,-36.40595627,-37.42116547,-35.92847443,-36.42948151,-36.04146194,-36.44631958,-36.21780777,-36.66008759,-35.85455322,-34.30649185,-33.75274658,-34.43850327,-35.83957291,-36.17954636,-39.1493454,-49.12145233
0.08686756,0.086124741,-191.5088196,105.8639679,-24.33371735,52.38515091,-36.41373062,-11.48965931,-12.52551842,4.42702055,-4.149598122,4.645534515,1.454496622,-2.697410345,8.175790787,-3.052779675,1.085410953,3.716067314,-6.35270834,-2.076999426,-5.177756786,1.097741723,5.899050236,6.846117973,3.752817869,6.751247406,-1.823854804,0.783904731,-1.809068203,5.583619595,2.4661479,1.42545855,-1.608904481,-1.609975219,-2.313240767,-3.049879789,-5.972205639,0.585706949,-6.601128578,-0.021214023,-2.999321699,-0.659300447,-9.364652634,-4.476939201,-0.965545475,-7.203065872,-8.509093285,-9.313820839,-8.490951538,-9.639593124,-6.64800024,-3.977518559,-1.250763059,-0.73780179,-1.68125093,-5.926632404,-7.341016293,-7.833722115,-6.194363117,-3.120878458,-1.038799047,-1.68080771,-2.06528616,-1.050569534,-0.268989891,0.232996732,0.682158709,-0.32539162,-1.316806674,-3.856166363,-6.302927017,-7.198663712,-9.411898613,-10.35559845,-9.215360641,-7.663470745,-6.770098686,-7.033695698,-7.010399342,-7.323503971,-9.72273922,-13.22808456,-15.4828558,-15.99360752,-16.91671562,-17.39847565,-17.7872963,-17.30531693,-16.28228951,-16.36753654,-17.87243843,-18.45676804,-18.90642166,-18.37946701,-19.38872528,-19.31272888,-19.1473732,-18.86464882,-18.13712692,-18.86862755,-19.40790367,-20.41505814,-19.75580215,-18.33372498,-18.06523705,-16.27492714,-16.18793678,-15.4050951,-14.54927826,-14.72566891,-14.79766846,-16.9999752,-16.3959713,-15.43126774,-14.20658588,-14.49233723,-14.37579727,-13.36959553,-13.96316719,-14.28564739,-14.05002785,-13.18086147,-11.5299263,-12.67175198,-13.84173965,-12.74901581,-11.93287277,-11.75409889,-12.52066898,-12.6383009,-12.21265602,-12.65291595,-15.47057915,-17.327631,-18.71623039,-20.29395676,-20.77461624,-20.19241524,-22.00260544,-23.9346447,-24.02220535,-22.38155937,-23.54166412,-21.08168602,-20.23342705,-19.93251991,-21.83761978,-24.75543594,-25.56556892,-27.58670425,-27.62462044,-26.89588356,-28.73223495,-30.85511208,-34.07090759,-35.03606796,-36.91693878,-38.53839874,-38.51014328,-39.44202042,-41.71284103,-42.19536972,-41.99812698,-41.72063828,-41.96651077,-41.98234558,-41.83767319,-41.8014183,-44.90460205,-51.64046097
0.089594415,0.078440577,-225.3209991,99.06239319,-11.67337894,16.71835899,-11.66614246,-6.61681366,-10.97894669,-9.153466225,2.711163044,1.803595543,-0.807976604,-0.749617636,6.610851765,1.222368956,-4.305641174,14.90297794,1.86194241,8.401596069,-5.408835888,-1.844758749,-2.494572163,3.562135458,-5.017031193,2.62451148,-1.131658792,-0.326739967,-6.755801678,-1.061524034,-1.541693807,1.833585262,-0.927661657,0.02105372,-0.927858233,2.41891098,-1.716419458,1.263525248,-3.518292665,0.609562337,-1.340215921,2.199956656,-10.46854401,-9.701368332,-8.294242859,-9.737883568,-10.20146561,-9.71544838,-10.24157524,-11.74579906,-12.948102,-13.52517128,-12.40482044,-10.452775,-7.1796031,-7.10431242,-6.516383171,-4.690379143,-4.251604557,-3.218939066,-3.027837515,-5.521986961,-7.043775082,-7.078923702,-6.950986862,-6.620865822,-7.636401653,-8.333208084,-10.06895733,-10.86547184,-10.73143673,-9.756005287,-10.16300964,-9.241260529,-8.430365562,-8.921087265,-10.0945015,-12.65584373,-14.31627941,-15.01143074,-16.09763527,-17.74803734,-19.57984734,-18.99859428,-17.76587105,-16.83243942,-16.08429909,-15.53456783,-15.68149471,-16.54508591,-17.01128578,-16.93316078,-17.38009262,-17.20222855,-17.34833336,-17.79799271,-18.29237366,-18.97271347,-20.38386154,-20.27046394,-20.00469589,-18.23490334,-16.58267403,-16.00559998,-14.89830494,-14.56036091,-15.38119411,-17.10747337,-17.59708595,-19.04772758,-20.0506897,-20.99276352,-21.65942764,-22.51970482,-22.10821152,-21.9750061,-22.00205421,-22.7682457,-23.49703979,-24.05787468,-23.54856491,-23.10651016,-22.98291016,-23.01834488,-22.34587669,-21.38331795,-20.72807121,-19.99386978,-19.70768356,-20.90170479,-21.52871513,-22.56163788,-25.13355255,-25.00013733,-25.81803703,-27.02085114,-27.13598442,-27.39667702,-28.12875557,-27.57128906,-26.84909248,-26.82917404,-26.46869469,-26.46651649,-26.19672203,-26.1648674,-27.70674896,-28.19109535,-30.79682541,-31.99501801,-32.20526886,-32.39238358,-33.63867188,-35.67894363,-36.67268372,-37.17018509,-36.79066467,-37.23784256,-36.1926384,-35.0483284,-34.94457245,-33.62592697,-31.98248863,-32.57404327,-33.27297592,-34.11408234,-34.11341476,-33.64479446,-38.09358215,-48.76586914
0.069607205,0.09589538,-185.50354,116.1061096,-5.343291759,21.92337799,-2.423203707,-5.573629379,-3.518960238,-2.906288385,6.571306705,3.007936954,0.488110721,-3.615465641,-6.955478191,-3.802577972,-8.881209373,1.505757809,-6.807559013,1.138821959,3.667151451,10.87912369,8.882566452,5.842532158,-0.309098989,3.15307641,-4.650771141,4.241672993,-5.135761261,0.027443115,-7.834109306,-0.880167961,-9.180055618,-5.428747177,-7.976708412,-2.145127773,-4.378621578,-0.378198534,-2.518761158,0.194589704,-0.578824818,2.098780632,-6.319128513,-2.401330709,1.650489092,2.260989904,-0.098634928,0.639796197,-4.392497063,-5.793673038,-5.384627819,-2.221108675,2.562562466,6.362155437,7.052711964,4.746318817,0.383454025,-5.093960762,-7.538054943,-8.935900688,-8.538743973,-8.078598976,-7.122245312,-4.264534473,-3.529954195,-2.964592457,-2.798432827,-1.643041372,-1.349960327,0.423879147,0.647369027,-2.90148592,-6.587962151,-7.716886044,-8.888343811,-9.265007019,-9.156681061,-9.937926292,-10.84564304,-8.732432365,-8.307339668,-9.629074097,-11.6820631,-13.19011211,-13.31248665,-14.88412285,-15.25609684,-15.40433693,-16.29701042,-16.49738884,-15.4433794,-13.99592209,-13.50913334,-12.55346584,-12.93058205,-12.91656303,-11.56672382,-13.79844189,-15.12178326,-15.66700554,-15.6605463,-15.04246712,-15.27908516,-14.3333559,-14.0843401,-14.91665554,-17.05413628,-15.80943298,-14.53888321,-14.87875748,-14.99359035,-15.65359402,-16.97236633,-18.01493645,-16.98311424,-17.08901405,-17.5603447,-21.38216782,-19.94154358,-18.56822205,-18.08128929,-17.72380829,-18.44155121,-19.44952774,-20.49864006,-19.38604164,-20.58657074,-20.45479965,-20.16070747,-19.62532616,-21.50452232,-22.59090805,-21.61736107,-22.13226891,-23.22938347,-24.11545181,-24.49959564,-24.37036324,-25.6745224,-25.97871208,-25.90130043,-23.89199448,-24.67751694,-25.85606384,-25.48344612,-27.06436539,-28.17207146,-27.31287384,-29.36111832,-32.10177612,-34.45498276,-33.9920845,-33.24984741,-32.54439926,-32.56916428,-32.20319366,-32.15224075,-32.75564575,-33.03004837,-33.48965836,-33.8693161,-33.27029419,-33.02111435,-30.50546455,-29.50408745,-29.57898903,-30.4472065,-31.11314011,-34.55987167,-45.98726273
0.054749834,0.064453907,-278.1417542,132.8130646,15.54054165,18.01552963,7.392330647,3.805417061,1.098250031,0.486710042,7.787065983,3.922229767,-1.021920085,0.93556726,-7.176867962,-3.993772507,-7.121549606,-0.329180628,-1.526951551,0.644845784,-0.452898353,3.564739466,-5.612104893,-2.461256742,-4.752134323,0.379787564,-0.221216276,3.717355251,-1.522305131,0.891095936,-5.645834446,-1.301224947,-7.285717964,-1.4923172,-2.299204826,0.732775092,-0.289706975,1.017909169,-1.697092772,0.660262764,-3.522767305,0.11460837,-9.091459274,-3.146395206,0.262383491,-0.212435827,-0.447812349,0.302179694,-1.885628343,-2.602263451,-3.199986458,-2.670043945,-3.476672173,-4.627357483,-5.923392296,-6.018992424,-6.808545113,-9.469596863,-10.10563278,-11.98469448,-12.62477779,-11.689188,-11.54360485,-9.808231354,-10.73942184,-12.65033913,-14.48656082,-14.30652618,-13.19169617,-11.00882435,-8.9807024,-9.160258293,-10.33595657,-10.24178123,-12.65407467,-16.67143822,-18.01159668,-19.16421318,-20.20096588,-19.45688057,-18.46144485,-18.45540237,-19.5986824,-20.0262661,-20.30319977,-20.18870735,-21.13162613,-21.45545197,-21.51854134,-22.41607857,-22.74193382,-22.33848572,-22.3497448,-21.99956894,-21.48999977,-21.82447052,-22.94960785,-22.65389442,-22.54501343,-23.88004112,-24.40116692,-24.25778961,-24.98731422,-25.33513451,-24.84689713,-24.33668327,-24.78496742,-24.82391548,-25.25043869,-26.69443703,-26.16163635,-25.87099266,-26.89430046,-27.782444,-28.68845558,-29.19833755,-30.68278885,-31.29239655,-30.3610363,-30.42117882,-31.54751587,-31.7730484,-30.97370338,-31.0821476,-30.9332695,-31.52946281,-32.39256287,-32.7259407,-33.46588898,-33.14202118,-32.82711029,-33.61101913,-33.43412018,-33.3098526,-33.44691086,-34.63336945,-33.41353607,-32.91386795,-32.98005676,-33.97082138,-35.33503342,-35.77835846,-36.768116,-38.11115646,-37.90710831,-38.09111404,-38.24639893,-38.35879517,-38.0279007,-39.41371536,-40.36738205,-40.26517487,-40.64530945,-40.10573578,-39.53407288,-39.39591217,-39.71247864,-40.19897079,-40.09793091,-39.96200562,-39.61722183,-39.7591362,-39.26259232,-38.73175049,-38.11297607,-38.09277344,-38.35409927,-38.4968071,-42.16698837,-50.35786819
0.068671044,0.07203155,-237.9613953,119.0450897,-8.140008926,38.73129654,-35.53240204,-4.935876369,-12.27526188,3.579738617,-2.668210745,1.452335119,-0.3963359,-7.739659309,6.221966267,-8.318246841,-7.319372177,0.146527439,-8.217657089,5.789586544,2.047067404,-1.223626018,0.947796524,9.038386345,4.822103024,14.1660881,9.315850258,7.341987133,-1.252723575,-1.932437658,-4.235890865,-0.301333696,-3.648806334,-3.724691629,-4.373301029,-0.777187288,-4.3200984,-0.553329706,-3.529160738,-1.610929728,-2.196647882,-2.920315027,-12.74804688,-7.009687901,-3.386892796,-8.655233383,-11.72702312,-12.56703091,-10.79670238,-12.78597546,-8.99802494,-1.50994575,4.124858856,3.610188246,-1.211485147,-4.339406013,-7.009995461,-9.182425499,-10.63041401,-11.1149931,-10.35329533,-8.536200523,-3.996101856,-0.110533148,0.96361047,-2.236167669,-5.701158047,-7.098476887,-7.01365757,-7.085428238,-6.646908283,-7.667234898,-9.125240326,-6.676466942,-5.382489204,-6.844148636,-10.53642368,-13.0471735,-14.62169075,-16.17205238,-16.71375084,-16.70186234,-16.70380211,-16.2825737,-14.87798023,-14.05060768,-15.30250931,-17.82451057,-19.71872139,-20.54185677,-21.9258976,-23.2329483,-24.60566139,-23.90542984,-22.51989937,-22.11140823,-23.62793159,-24.09866714,-23.61904144,-24.08818245,-23.74385834,-21.61976433,-21.32757187,-22.28335953,-21.9617424,-21.70669174,-22.50971413,-23.23348427,-23.29030991,-23.72722244,-24.43081474,-23.26943016,-21.63520241,-20.27316284,-22.15203667,-23.56673813,-22.61746979,-22.19756889,-21.24876595,-22.46320915,-23.85935211,-24.30718613,-22.57732582,-20.99786949,-21.79126167,-21.40378761,-19.35642815,-18.1113205,-18.61547852,-18.90641403,-18.18175125,-20.30171204,-25.01311874,-26.20181274,-25.52430153,-27.51699638,-29.01904488,-27.27187347,-28.15537453,-29.36055756,-26.80158615,-26.48880577,-25.97980881,-24.58637047,-25.1653614,-25.16589355,-27.01182556,-28.09924316,-28.31743813,-29.29404831,-30.71930313,-32.16638565,-33.22117615,-35.71696472,-38.48390579,-39.99357224,-40.9015274,-41.29308701,-42.59802246,-44.3356781,-44.92157364,-44.37725067,-43.95160675,-42.80011368,-43.36564255,-43.87178802,-44.38346863,-45.42951202,-48.4069252,-52.36826324
0.042194772,0.06679967,-207.819458,108.1723022,-32.99765015,30.11861038,-11.39761162,-10.50423241,-6.849643707,1.484027147,-3.388832569,4.278762341,5.80957222,0.635154009,-1.057761312,2.122413635,-11.10513115,7.658073902,-5.42362833,0.232467204,-0.051287778,4.013515472,4.5325737,13.29162216,7.20536232,8.036962509,3.036944866,2.432459354,-0.128988057,6.645270348,0.631569982,1.61460638,-0.984299183,0.838646591,2.395025015,0.95855242,-2.165794611,3.143776655,-0.190449536,1.203279972,-0.69007653,3.903472185,8.7799263,-13.28210068,-12.83128738,-11.34667492,-10.04440212,-11.28072548,-11.1738348,-12.06574154,-9.451848984,-4.612939835,-2.408245087,-1.998083353,-3.12037921,-6.497990608,-8.949737549,-10.39290333,-10.19113255,-9.16752243,-10.39457798,-9.484166145,-6.585440159,-3.700649738,-2.56021595,-3.060055256,-3.019880533,-3.062821627,-4.296134472,-6.539488316,-7.609800816,-9.648485184,-10.511446,-9.960268974,-10.0308876,-10.24831963,-10.27861595,-10.11065197,-10.80179882,-12.24915504,-12.1848259,-13.17477703,-15.6491909,-16.98218346,-17.55109787,-15.80223274,-14.1729641,-13.81047058,-13.30889511,-13.2490921,-13.41607285,-13.57906151,-13.45669651,-15.09599876,-17.29110718,-16.59617043,-15.73768234,-15.28285599,-14.7459259,-15.18614292,-15.70959759,-16.8855629,-17.43048668,-16.16315651,-15.76665306,-15.34987259,-13.89958763,-14.77367783,-14.5988493,-14.54071999,-15.21491241,-16.03096771,-15.64692879,-15.93804646,-13.23106384,-13.13208103,-15.81771946,-16.85724449,-16.81040382,-15.76882839,-14.847785,-14.6230011,-15.48103523,-16.70904541,-16.50281143,-14.86434746,-14.64799118,-16.26144981,-17.41716194,-18.43305397,-21.23321724,-23.47898293,-24.75636673,-26.31191826,-26.62169075,-26.7370472,-25.79766655,-25.0894146,-25.81525993,-25.41501045,-25.3605175,-26.38514519,-26.26801491,-26.65841103,-26.50694275,-26.00611115,-27.74248695,-30.32348824,-32.80018234,-33.25477982,-33.99898529,-35.31236649,-35.52433395,-36.10719681,-36.54344177,-37.16915131,-36.98617935,-36.61066437,-37.11844635,-36.23202515,-36.40694046,-36.03053665,-36.01338959,-36.66595459,-37.60921478,-38.97540665,-40.35085678,-40.20343018,-42.62288284,-52.34907913
